apertura,branch_id,brand,city,country,db_cost_center,db_match,display_name,estado,is_deleted,is_presale,key,m2,name,nueva,partner_id,partner_name,pendiente,punto_equilibrio,region_name,source,updated_at
2024-11-21,32,ACTION_EXPERIENCE,SABANETA,CO,"{'id': 7, 'is_active': True, 'name': 'Action Aves Maria'}",id,Aves María,activa,0,0,CO:32,855.0,AvesMaria,False,35,EVO,False,1338.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2024-05-31,9,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 9, 'is_active': True, 'name': 'Action Belen'}",id,Belen,activa,0,0,CO:9,1600.0,Belen,False,10,EVO,False,968.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2026-03-04,98,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 18, 'is_active': True, 'name': 'Action CC Multiplaza'}",id,C.C Multiplaza - La Felicidad,activa,0,0,CO:98,650.64,CCLaFelicidad,False,69,EVO,False,450.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2025-12-24,84,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 16, 'is_active': True, 'name': 'Action CC Colina'}",id,C.C Parque La Colina,activa,0,0,CO:84,543.64,CCColina,False,60,EVO,False,653.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2026-08-06,95,ACTION_EXPERIENCE,BARRANQUILLA,CO,"{'id': 10, 'is_active': True, 'name': 'Action Calle 77'}",id,Calle 77,activa,0,0,CO:95,800.0,Calle77,False,64,EVO,False,440.0,B/QUILLA - CALI - PEREIRA,master_sedes,2026-08-27T03:26:55Z
2025-05-01,27,ACTION_EXPERIENCE,CALI,CO,"{'id': 11, 'is_active': True, 'name': 'Action Campanella Plaza'}",id,Campanella Plaza,activa,0,0,CO:27,966.0,CampanellaPlaza,False,29,EVO,False,708.0,B/QUILLA - CALI - PEREIRA,master_sedes,2026-08-27T03:26:55Z
2022-03-04,4,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 12, 'is_active': True, 'name': 'Action Campestre'}",id,Campestre,activa,0,0,CO:4,585.7,Campestre,False,5,EVO,False,1256.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2026-04-14,92,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 15, 'is_active': True, 'name': 'Action CC Arkadia'}",id,CC Arkadia,activa,0,0,CO:92,776.0,CCArkadia,False,67,EVO,False,570.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2025-07-07,48,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 17, 'is_active': True, 'name': 'Action CC Florida'}",id,CC Florida,activa,0,0,CO:48,712.0,CCFlorida,False,43,EVO,False,792.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
,120,ACTION_EXPERIENCE,BARRANQUILLA,CO,,,CDI Barranquilla,inactiva,1,1,CO:120,,CDIBarranquilla,False,120,AX,False,,,,
,117,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,,,CDI Bogota,inactiva,1,1,CO:117,,CDIBogota,False,117,AX,False,,,,
,118,ACTION_EXPERIENCE,CALI,CO,,,CDI Cali,inactiva,1,1,CO:118,,CDICali,False,118,AX,False,,,,
,116,ACTION_EXPERIENCE,MEDELLÍN,CO,,,CDI La 33,inactiva,1,1,CO:116,,CDILa33,False,116,AX,False,,,,
,119,ACTION_EXPERIENCE,PEREIRA,CO,,,CDI Pereira,inactiva,1,1,CO:119,,CDIPereira,False,119,AX,False,,,,
2025-09-03,31,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 14, 'is_active': True, 'name': 'Action Carulla Cedro Bolivar'}",id,Cedro Bolívar,activa,0,0,CO:31,359.0,CedroBolivar,False,33,EVO,False,634.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2023-01-20,5,ACTION_EXPERIENCE,ENVIGADO,CO,"{'id': 23, 'is_active': True, 'name': 'Action City Plaza'}",id,City Plaza,activa,0,0,CO:5,722.6,City,False,6,EVO,False,1243.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
