display_name,ValorBaixa,DtLancamento,IdFilial
Alto de palmas,"129.900,00",2026-01-01,7
Laureles,"249.900,00",2026-01-01,8
Laureles,"199.900,00",2026-01-01,8
Laureles,"249.900,00",2026-01-01,8
Laureles,"219.900,00",2026-01-01,8
La 33,"109.900,00",2026-01-01,9
Belen,"199.900,00",2026-01-01,10
El Edén,"249.900,00",2026-01-01,52
City Plaza,"199.900,00",2026-01-01,6
City Plaza,"199.900,00",2026-01-01,6
Corporate Center,"219.900,00",2026-01-01,61
El Edén,"249.900,00",2026-01-01,52
Corporate Center,"249.900,00",2026-01-01,61
Intermedia,"180.000,00",2026-01-01,1
Corporate Center,"249.900,00",2026-01-01,61
Park1433,"249.900,00",2026-01-01,45
Corporate Center,"249.900,00",2026-01-01,61
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"199.900,00",2026-01-01,4
Outlet,"249.900,00",2026-01-01,47
Sabaneta,"249.900,00",2026-01-01,4
Las Palmas Bio 26,"249.900,00",2026-01-01,46
Corporate Center,"249.900,00",2026-01-01,61
Plaza Campestre,"199.900,00",2026-01-01,44
Plaza Campestre,"199.900,00",2026-01-01,44
Tesoro,"180.000,00",2026-01-01,3
Santafe Bogota,"249.900,00",2026-01-01,13
Oviedo,"249.900,00",2026-01-01,14
Oviedo,"219.900,00",2026-01-01,14
Alto de palmas,"109.900,00",2026-01-01,7
Alto de palmas,"129.900,00",2026-01-01,7
Alto de palmas,"224.900,00",2026-01-01,7
Santafe Bogota,"199.900,00",2026-01-01,13
Belen,"199.900,00",2026-01-01,10
Belen,"129.900,00",2026-01-01,10
Inferior,"199.900,00",2026-01-01,12
Inferior,"199.900,00",2026-01-01,12
Inferior,"249.900,00",2026-01-01,12
Inferior,"180.000,00",2026-01-01,12
Inferior,"249.900,00",2026-01-01,12
Inferior,"180.000,00",2026-01-01,12
Inferior,"249.900,00",2026-01-01,12
Corporate Center,"219.900,00",2026-01-01,61
Mall Gran Via,"129.900,00",2026-01-01,53
Alto de palmas,"249.900,00",2026-01-01,7
Laureles,"199.900,00",2026-01-01,8
Laureles,"219.900,00",2026-01-01,8
Laureles,"199.900,00",2026-01-01,8
Santafe Bogota,"249.900,00",2026-01-01,13
Santafe Bogota,"249.900,00",2026-01-01,13
San Lucas,"199.900,00",2026-01-01,15
San Lucas,"199.900,00",2026-01-01,15
San Lucas,"219.900,00",2026-01-01,15
Niquia,"199.900,00",2026-01-01,16
Niquia,"219.900,00",2026-01-01,16
Niquia,"219.900,00",2026-01-01,16
Niquia,"224.900,00",2026-01-01,16
Niquia,"224.900,00",2026-01-01,16
Epic Pereira,"199.900,00",2026-01-01,51
Epic Pereira,"199.900,00",2026-01-01,51
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"219.900,00",2026-01-01,3
Las Palmas Bio 26,"109.900,00",2026-01-01,46
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Sabaneta,"100.000,00",2026-01-01,4
Sabaneta,"249.900,00",2026-01-01,4
Sabaneta,"109.900,00",2026-01-01,4
Los Molinos,"224.900,00",2026-01-01,48
Corporate Center,"249.900,00",2026-01-01,61
San Lucas,"199.900,00",2026-01-01,15
San Lucas,"199.900,00",2026-01-01,15
San Lucas,"219.900,00",2026-01-01,15
Santafe Bogota,"199.900,00",2026-01-01,13
Santafe Bogota,"219.900,00",2026-01-01,13
Santafe Bogota,"219.900,00",2026-01-01,13
Oviedo,"199.900,00",2026-01-01,14
Oviedo,"199.900,00",2026-01-01,14
Oviedo,"249.900,00",2026-01-01,14
Oviedo,"219.900,00",2026-01-01,14
San Lucas,"199.900,00",2026-01-01,15
Niquia,"249.900,00",2026-01-01,16
Niquia,"219.900,00",2026-01-01,16
Los Colores,"199.900,00",2026-01-01,17
Los Colores,"199.900,00",2026-01-01,17
Los Colores,"219.900,00",2026-01-01,17
Belen,"109.900,00",2026-01-01,10
Santafe Bogota,"199.900,00",2026-01-01,13
Oviedo,"199.900,00",2026-01-01,14
Oviedo,"199.900,00",2026-01-01,14
Oviedo,"219.900,00",2026-01-01,14
Oviedo,"249.900,00",2026-01-01,14
Niquia,"249.900,00",2026-01-01,16
Los Colores,"180.000,00",2026-01-01,17
Santafe Bogota,"199.900,00",2026-01-01,13
Atlantis,"249.900,00",2026-01-01,20
Niquia,"224.900,00",2026-01-01,16
Los Colores,"199.900,00",2026-01-01,17
Los Colores,"100.000,00",2026-01-01,17
Los Colores,"219.900,00",2026-01-01,17
Los Colores,"129.900,00",2026-01-01,17
Los Colores,"129.900,00",2026-01-01,17
Corporate Center,"219.900,00",2026-01-01,61
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"219.900,00",2026-01-01,61
Epic Pereira,"199.900,00",2026-01-01,51
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Sabaneta,"199.900,00",2026-01-01,4
Sabaneta,"109.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Los Molinos,"224.900,00",2026-01-01,48
Sabaneta,"129.900,00",2026-01-01,4
Viva Envigado,"249.900,00",2026-01-01,18
Viva Envigado,"129.900,00",2026-01-01,18
Viva Envigado,"109.900,00",2026-01-01,18
Viva Envigado,"180.000,00",2026-01-01,18
Viva Envigado,"249.900,00",2026-01-01,18
Viva Envigado,"199.900,00",2026-01-01,18
Viva Envigado,"199.900,00",2026-01-01,18
Viva Envigado,"199.900,00",2026-01-01,18
Viva Envigado,"199.900,00",2026-01-01,18
Viva Envigado,"129.900,00",2026-01-01,18
La 33,"249.900,00",2026-01-01,9
La 33,"219.900,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
Belen,"199.900,00",2026-01-01,10
Belen,"219.900,00",2026-01-01,10
Inferior,"199.900,00",2026-01-01,12
Viva Envigado,"199.900,00",2026-01-01,18
Atlantis,"249.900,00",2026-01-01,20
La 33,"249.900,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"249.900,00",2026-01-01,9
La 33,"180.000,00",2026-01-01,9
La 33,"109.900,00",2026-01-01,9
Santafe Bogota,"199.900,00",2026-01-01,13
Niquia,"109.900,00",2026-01-01,16
Niquia,"199.900,00",2026-01-01,16
Niquia,"180.000,00",2026-01-01,16
Niquia,"219.900,00",2026-01-01,16
Niquia,"249.900,00",2026-01-01,16
Viva Envigado,"180.000,00",2026-01-01,18
Viva Envigado,"219.900,00",2026-01-01,18
Viva Envigado,"109.900,00",2026-01-01,18
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"129.900,00",2026-01-01,3
Sabaneta,"199.900,00",2026-01-01,4
Sabaneta,"249.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Ciudadela Sabaneta,"224.900,00",2026-01-01,50
Outlet,"249.900,00",2026-01-01,47
Los Molinos,"249.900,00",2026-01-01,48
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Los Molinos,"249.900,00",2026-01-01,48
Corporate Center,"219.900,00",2026-01-01,61
Ciudadela Sabaneta,"109.900,00",2026-01-01,50
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Ciudadela Sabaneta,"249.900,00",2026-01-01,50
Ciudadela Sabaneta,"129.900,00",2026-01-01,50
Corporate Center,"219.900,00",2026-01-01,61
Sabaneta,"249.900,00",2026-01-01,4
Outlet,"249.900,00",2026-01-01,47
Corporate Center,"249.900,00",2026-01-01,61
Outlet,"224.900,00",2026-01-01,47
Sabaneta,"249.900,00",2026-01-01,4
Sabaneta,"249.900,00",2026-01-01,4
Los Molinos,"249.900,00",2026-01-01,48
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Viva Envigado,"109.900,00",2026-01-01,18
San Lucas,"219.900,00",2026-01-01,15
Los Colores,"100.000,00",2026-01-01,17
Los Colores,"249.900,00",2026-01-01,17
Los Colores,"129.900,00",2026-01-01,17
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
San Lucas,"224.900,00",2026-01-01,15
Niquia,"199.900,00",2026-01-01,16
Niquia,"224.900,00",2026-01-01,16
Los Colores,"199.900,00",2026-01-01,17
Los Colores,"129.900,00",2026-01-01,17
Viva Envigado,"129.900,00",2026-01-01,18
Viva Barranquilla,"199.900,00",2026-01-01,21
Atlantis,"249.900,00",2026-01-01,20
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Envigado,"224.900,00",2026-01-01,18
Viva Envigado,"109.900,00",2026-01-01,18
Viva Envigado,"109.900,00",2026-01-01,18
Viva Envigado,"249.900,00",2026-01-01,18
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"199.900,00",2026-01-01,19
Altos Del Prado,"249.900,00",2026-01-01,19
Altos Del Prado,"249.900,00",2026-01-01,19
La 33,"100.000,00",2026-01-01,9
Belen,"199.900,00",2026-01-01,10
Belen,"249.900,00",2026-01-01,10
Santafe Bogota,"249.900,00",2026-01-01,13
Santafe Bogota,"249.900,00",2026-01-01,13
Santafe Bogota,"199.900,00",2026-01-01,13
Santafe Bogota,"249.900,00",2026-01-01,13
Oviedo,"199.900,00",2026-01-01,14
Oviedo,"180.000,00",2026-01-01,14
Niquia,"249.900,00",2026-01-01,16
Los Colores,"199.900,00",2026-01-01,17
Viva Barranquilla,"199.900,00",2026-01-01,21
Viva Barranquilla,"199.900,00",2026-01-01,21
